Name;XT;Module;Channel

CEMENT_M_1;AI;1;1
WATER_M_1;AI;1;2
ADDITION_M_1;AI;1;3
FILLERS_M_1;AI;1;4

MIXER_I_1;AI;2;1

DCEMENT_CLOSED_1;DI;3;1
DWATER_CLOSED_1;DI;3;2
DADDITIONS_CLOSED_1;DI;3;3
CONVEYOR_ISON_1;DI;3;4
AUGER_ISON_1;DI;3;5
WPUMP_ISON_1;DI;3;6
APUMP_ISON_1;DI;3;7
APUMP_ISON_2;DI;3;8

FEEDER_ISON_1;DI;4;1
FEEDER_ISON_2;DI;4;2
FEEDER_ISON_3;DI;4;3
MIXER_ISON_1;DI;4;4
MIXER_CLOSED_1;DI;4;5
MIXER_OPENED_1;DI;4;6
TCONVEYOR_ISON_1;DI;4;7
ELEVATOR_BELOW_1;DI;4;8

ELEVATOR_ABOVE_1;DI;5;1
ELEV ATOR_MIDDLE_1;DI;5;2

DCEMENT_OPEN_1;DO;6;1
DWATER_OPEN_1;DO;6;2
DADDITIONS_OPEN_1;DO;6;3
MIXER_OPEN_1;DO;6;4
MIXER_CLOSE_1;DO;6;5
AERATOR_ON_1;DO;6;6
DC_VIBRATOR_ON_1;DO;6;7
TCONVEYOR_ON_1;DO;6;8

ELEVATOR_UP_1;DO;7;1
ELEVATOR_DOWN_1;DO;7;2
AUGER_ON_1;DO;7;3
WPUMP_ON_1;DO;7;4
APUMP_ON_1;DO;7;5
APUMP_ON_2;DO;7;6
FEEDER_ON_1;DO;7;7
FEEDER_ON_2;DO;7;8

FEEDER_ON_3;DO;8;1
MIXER_ON_1;DO;8;2
MIXER_OFF_1;DO;8;3
VIBRATOR_ON_1;DO;8;4
TCONVEYOR_ON_1;DO;8;5
CONVEYOR_ON_1;DO;8;6
